AccountId,AccountNum,DateOpen,ClientId,ClientName,TotalAmt,CutoffDt
1,40702810927050000337,2020-11-01,1,Клиент 1,1697988.80,2020-11-02
1,40702810927050000337,2020-11-01,1,Клиент 1,1239646.48,2020-11-01
2,40802810300000009067,2020-11-02,2,Клиент 2,856510.75,2020-11-02
2,40802810300000009067,2020-11-02,2,Клиент 2,1504469.43,2020-11-03
3,40802810300000009708,2020-11-03,3,Клиент 3,1354023.20,2020-11-03
3,40802810300000009708,2020-11-03,3,Клиент 3,1110291.49,2020-11-04
4,40802810800000030701,2020-11-04,4,Клиент 4,1239725.91,2020-11-04
4,40802810800000030701,2020-11-04,4,Клиент 4,1698092.02,2020-11-01
5,40802810300000011071,2020-11-01,5,Клиент 5,1504548.86,2020-11-02
5,40802810300000011071,2020-11-01,5,Клиент 5,856586.88,2020-11-01
6,40802810100000063339,2020-11-02,6,Клиент 6,1354126.40,2020-11-02
6,40802810100000063339,2020-11-02,6,Клиент 6,1110367.61,2020-11-03
7,40702810823620000031,2020-11-03,7,Клиент 7,1239805.34,2020-11-03
7,40702810823620000031,2020-11-03,7,Клиент 7,1698195.20,2020-11-04
8,40802810409260005894,2020-11-04,8,Клиент 8,856662.98,2020-11-04
8,40802810409260005894,2020-11-04,8,Клиент 8,1504628.29,2020-11-01
9,40802810905030000004,2020-11-01,9,Клиент 9,1354229.60,2020-11-01
9,40802810905030000004,2020-11-01,9,Клиент 9,1110443.73,2020-11-02
10,40802810400020001097,2020-11-02,10,Клиент 10,1239884.77,2020-11-02
10,40802810400020001097,2020-11-02,10,Клиент 10,1698298.40,2020-11-03
11,40702810717060008427,2020-11-03,11,Клиент 11,856739.10,2020-11-03
11,40702810717060008427,2020-11-03,11,Клиент 11,1504707.72,2020-11-04
12,40702810836260000957,2020-11-04,12,Клиент 12,1354332.80,2020-11-04
12,40702810836260000957,2020-11-04,12,Клиент 12,1110519.85,2020-11-01
13,40702810000000150277,2020-11-01,13,Клиент 13,1698401.60,2020-11-02
13,40702810000000150277,2020-11-01,13,Клиент 13,1239964.20,2020-11-01
14,40702810200000145833,2020-11-02,14,Клиент 14,856815.22,2020-11-02
14,40702810200000145833,2020-11-02,14,Клиент 14,1504787.17,2020-11-03
15,40702810200000145891,2020-11-03,15,Клиент 15,1354436.02,2020-11-03
15,40702810200000145891,2020-11-03,15,Клиент 15,1110595.97,2020-11-04
16,40702810400000099734,2020-11-04,16,Клиент 16,1698504.80,2020-11-01
16,40702810400000099734,2020-11-04,16,Клиент 16,1240043.63,2020-11-04
17,40702810600000057437,2020-11-01,17,Клиент 17,1504866.59,2020-11-02
17,40702810600000057437,2020-11-01,17,Клиент 17,856891.34,2020-11-01
18,40702810472000008818,2020-11-02,18,Клиент 18,1110672.09,2020-11-03
18,40702810472000008818,2020-11-02,18,Клиент 18,1354539.20,2020-11-02
19,40702810400000100092,2020-11-03,19,Клиент 19,1240123.06,2020-11-03
19,40702810400000100092,2020-11-03,19,Клиент 19,1698608.00,2020-11-04
20,40702810473000000378,2020-11-04,20,Клиент 20,856967.46,2020-11-04
20,40702810473000000378,2020-11-04,20,Клиент 20,1504946.02,2020-11-01
21,40702810300000049813,2020-11-01,21,Клиент 21,1110748.21,2020-11-02
21,40702810300000049813,2020-11-01,21,Клиент 21,1354642.40,2020-11-01
22,40702810000000038920,2020-11-02,22,Клиент 22,1698711.20,2020-11-03
22,40702810000000038920,2020-11-02,22,Клиент 22,1240202.49,2020-11-02
23,40802810524210000197,2020-11-03,23,Клиент 23,857043.58,2020-11-03
23,40802810524210000197,2020-11-03,23,Клиент 23,1505025.45,2020-11-04
24,40702810812250000077,2020-11-04,24,Клиент 24,1354745.60,2020-11-04
24,40702810812250000077,2020-11-04,24,Клиент 24,1110824.34,2020-11-01
25,40802810327110000024,2020-11-01,25,Клиент 25,1240281.94,2020-11-01
25,40802810327110000024,2020-11-01,25,Клиент 25,1698814.40,2020-11-02
26,40702810335640005517,2020-11-02,26,Клиент 26,857119.70,2020-11-02
26,40702810335640005517,2020-11-02,26,Клиент 26,1505104.88,2020-11-03
27,40802810700000022408,2020-11-03,27,Клиент 27,1110900.44,2020-11-04
27,40802810700000022408,2020-11-03,27,Клиент 27,1354848.80,2020-11-03
28,40802810300000018362,2020-11-04,28,Клиент 28,1240361.36,2020-11-04
28,40802810300000018362,2020-11-04,28,Клиент 28,1698917.60,2020-11-01
29,40802810400020000632,2020-11-01,29,Клиент 29,1505184.31,2020-11-02
29,40802810400020000632,2020-11-01,29,Клиент 29,857195.82,2020-11-01
30,40702810300020013104,2020-11-02,30,Клиент 30,1110976.56,2020-11-03
30,40702810300020013104,2020-11-02,30,Клиент 30,1354952.00,2020-11-02
31,40702810610650002309,2020-11-03,31,Клиент 31,1699020.80,2020-11-04
31,40702810610650002309,2020-11-03,31,Клиент 31,1240440.79,2020-11-03
32,40702810400060008556,2020-11-04,32,Клиент 32,1505263.74,2020-11-01
32,40702810400060008556,2020-11-04,32,Клиент 32,857271.94,2020-11-04
33,40702810900000120462,2020-11-01,33,Клиент 33,1111052.68,2020-11-02
33,40702810900000120462,2020-11-01,33,Клиент 33,1355055.20,2020-11-01
34,40702810500000077177,2020-11-02,34,Клиент 34,1240520.22,2020-11-02
34,40702810500000077177,2020-11-02,34,Клиент 34,1699124.02,2020-11-03
35,40702810900000134555,2020-11-03,35,Клиент 35,1505343.17,2020-11-04
35,40702810900000134555,2020-11-03,35,Клиент 35,857348.07,2020-11-03
36,40702810900000152139,2020-11-04,36,Клиент 36,1111128.80,2020-11-01
36,40702810900000152139,2020-11-04,36,Клиент 36,1355158.40,2020-11-04
37,40702810800000034454,2020-11-01,37,Клиент 37,1699227.20,2020-11-02
37,40702810800000034454,2020-11-01,37,Клиент 37,1240599.65,2020-11-01
38,40702810800000050085,2020-11-02,38,Клиент 38,1505422.60,2020-11-03
38,40702810800000050085,2020-11-02,38,Клиент 38,857424.17,2020-11-02
39,40702810313540006946,2020-11-03,39,Клиент 39,1111204.92,2020-11-04
39,40702810313540006946,2020-11-03,39,Клиент 39,1355261.60,2020-11-03
40,40702810000000113612,2020-11-04,40,Клиент 40,1699330.40,2020-11-01
40,40702810000000113612,2020-11-04,40,Клиент 40,1240679.08,2020-11-04
41,40702810114400000296,2020-11-01,41,Клиент 41,1505502.03,2020-11-02
41,40702810114400000296,2020-11-01,41,Клиент 41,857500.29,2020-11-01
42,40802810725000000078,2020-11-02,42,Клиент 42,1355364.80,2020-11-02
42,40802810725000000078,2020-11-02,42,Клиент 42,1111281.04,2020-11-03
43,40802810900000014232,2020-11-03,43,Клиент 43,1699433.60,2020-11-04
43,40802810900000014232,2020-11-03,43,Клиент 43,1240758.51,2020-11-03
44,40702810928030000013,2020-11-04,44,Клиент 44,857576.41,2020-11-04
44,40702810928030000013,2020-11-04,44,Клиент 44,1505581.48,2020-11-01
45,40702810731100000091,2020-11-01,45,Клиент 45,1111357.16,2020-11-02
45,40702810731100000091,2020-11-01,45,Клиент 45,1355468.02,2020-11-01
46,40702810207510000382,2020-11-02,46,Клиент 46,1699536.80,2020-11-03
